"x" "y" "yield" "nitro" "topo" "bv" "rep" "nf" "StripNo" "RowId" "row" "col" "cnitro" "nitro.sq" "cnitro.sq" "gridobject" "gridId"
-5137080.40451754 -6258757.50111645 93.14 124.6 "W" 174.53 "R1" "N5" "Strip: 1" 1 "1" "1" 59.7 15525.16 3564.09 "1" "1"
-5137080.33654616 -6258749.03674528 87.73 75.4 "W" 166.49 "R1" "N3" "Strip: 2" 1 "1" "2" 10.5 5685.16 110.25 "1" "2"
-5137088.73256637 -6258740.5049548 101.66 99.8 "W" 181.24 "R1" "N4" "Strip: 3" 1 "1" "3" 34.9 9960.04 1218.01 "1" "3"
-5137088.66405323 -6258732.03895292 90.97 0 "W" 182.75 "R1" "N0" "Strip: 4" 1 "1" "4" -64.9 0 4212.01 "1" "4"
-5137088.59607507 -6258723.57459855 89.94 50.6 "W" 178.19 "R1" "N2" "Strip: 5" 1 "1" "5" -14.3 2560.36 204.49 "1" "5"
-5137096.99208569 -6258715.04283181 101.28 39 "W" 177.85 "R1" "N1" "Strip: 6" 1 "1" "6" -25.9 1521 670.81 "1" "6"
-5137096.9230706 -6258706.57807229 101.42 124.6 "W" 176.36 "R2" "N5" "Strip: 7" 1 "1" "7" 59.7 15525.16 3564.09 "94" "7"
-5137096.85558082 -6258698.11250914 90.39 75.4 "W" 175.37 "R2" "N3" "Strip: 8" 1 "1" "8" 10.5 5685.16 110.25 "94" "8"
-5137105.25158184 -6258689.58076614 98.59 99.8 "W" 166.34 "R2" "N4" "Strip: 9" 1 "1" "9" 34.9 9960.04 1218.01 "94" "9"
-5137105.18255997 -6258681.11602342 95.19 0 "W" 156.77 "R2" "N0" "Strip: 10" 1 "1" "10" -64.9 0 4212.01 "94" "10"
-5137105.11456824 -6258672.65170263 95.49 50.6 "W" 170.61 "R2" "N2" "Strip: 11" 1 "1" "11" -14.3 2560.36 204.49 "94" "11"
-5137105.04706969 -6258664.18616119 93.95 39 "W" 140.13 "R2" "N1" "Strip: 12" 1 "1" "12" -25.9 1521 670.81 "94" "12"
-5137113.44202618 -6258655.65403187 104.28 124.6 "W" 155.67 "R3" "N5" "Strip: 13" 1 "1" "13" 59.7 15525.16 3564.09 "187" "13"
-5137113.37402767 -6258647.18972788 91.97 75.4 "W" 129.92 "R3" "N3" "Strip: 14" 1 "1" "14" 10.5 5685.16 110.25 "187" "14"
-5137113.30602716 -6258638.7254288 88.28 99.8 "W" 135.48 "R3" "N4" "Strip: 15" 1 "1" "15" 34.9 9960.04 1218.01 "187" "15"
-5137121.70146922 -6258630.19209765 84.49 0 "W" 135.47 "R3" "N0" "Strip: 16" 1 "1" "16" -64.9 0 4212.01 "187" "16"
-5137121.63346393 -6258621.72781045 94.06 50.6 "W" 162.05 "R3" "N2" "Strip: 17" 1 "1" "17" -14.3 2560.36 204.49 "187" "17"
-5137121.56545664 -6258613.26352817 86.66 39 "W" 142.55 "R3" "N1" "Strip: 18" 1 "1" "18" -25.9 1521 670.81 "187" "18"
-5137071.94002682 -6258757.56977116 94.98 124.6 "W" 173.25 "R1" "N5" "Strip: 1" 2 "2" "1" 59.7 15525.16 3564.09 "2" "19"
-5137071.87205628 -6258749.10539796 98.59 75.4 "W" 171.17 "R1" "N3" "Strip: 2" 2 "2" "2" 10.5 5685.16 110.25 "2" "20"
-5137080.26857281 -6258740.57237903 101.85 99.8 "W" 166.78 "R1" "N4" "Strip: 3" 2 "2" "3" 34.9 9960.04 1218.01 "2" "21"
-5137080.19956532 -6258732.10760069 92.19 0 "W" 177.32 "R1" "N0" "Strip: 4" 2 "2" "4" -64.9 0 4212.01 "2" "22"
-5137080.13158799 -6258723.64324427 88.9 50.6 "W" 177.86 "R1" "N2" "Strip: 5" 2 "2" "5" -14.3 2560.36 204.49 "2" "23"
-5137088.52809493 -6258715.11024909 95.22 39 "W" 181 "R1" "N1" "Strip: 6" 2 "2" "6" -25.9 1521 670.81 "2" "24"
-5137088.45908066 -6258706.64548754 101.63 124.6 "W" 176.05 "R2" "N5" "Strip: 7" 2 "2" "7" 59.7 15525.16 3564.09 "95" "25"
-5137088.39109654 -6258698.18114792 97.55 75.4 "W" 174.03 "R2" "N3" "Strip: 8" 2 "2" "8" 10.5 5685.16 110.25 "95" "26"
-5137096.78759389 -6258689.64817648 96.45 99.8 "W" 165.23 "R2" "N4" "Strip: 9" 2 "2" "9" 34.9 9960.04 1218.01 "95" "27"
-5137096.71857284 -6258681.18343172 98.79 0 "W" 160.48 "R2" "N0" "Strip: 10" 2 "2" "10" -64.9 0 4212.01 "95" "28"
-5137096.65058193 -6258672.7191089 100.92 50.6 "W" 128.84 "R2" "N2" "Strip: 11" 2 "2" "11" -14.3 2560.36 204.49 "95" "29"
-5137096.5815569 -6258664.25437399 92.62 39 "W" 144.26 "R2" "N1" "Strip: 12" 2 "2" "12" -25.9 1521 670.81 "95" "30"
-5137104.97804185 -6258655.72143323 97.78 124.6 "W" 125.82 "R3" "N5" "Strip: 13" 2 "2" "13" 59.7 15525.16 3564.09 "188" "31"
-5137104.91004416 -6258647.25712721 100.52 75.4 "W" 139.78 "R3" "N3" "Strip: 14" 2 "2" "14" 10.5 5685.16 110.25 "188" "32"
-5137104.84101235 -6258638.79240909 92.03 99.8 "W" 164.28 "R3" "N4" "Strip: 15" 2 "2" "15" 34.9 9960.04 1218.01 "188" "33"
-5137113.2374877 -6258630.25949207 90.1 0 "W" 168.05 "R3" "N0" "Strip: 16" 2 "2" "16" -64.9 0 4212.01 "188" "34"
-5137113.16948322 -6258621.79520284 101.46 50.6 "W" 127.76 "R3" "N2" "Strip: 17" 2 "2" "17" -14.3 2560.36 204.49 "188" "35"
-5137113.10044462 -6258613.33050152 102.16 39 "W" 131.17 "R3" "N1" "Strip: 18" 2 "2" "18" -25.9 1521 670.81 "188" "36"
-5137063.47553577 -6258757.63842671 94.81 124.6 "W" 175.09 "R1" "N5" "Strip: 1" 3 "3" "1" 59.7 15525.16 3564.09 "3" "37"
-5137063.40756605 -6258749.17405147 104.14 75.4 "W" 175.16 "R1" "N3" "Strip: 2" 3 "3" "2" 10.5 5685.16 110.25 "3" "38"
-5137071.8030516 -6258740.64061266 102.43 99.8 "W" 163.67 "R1" "N4" "Strip: 3" 3 "3" "3" 34.9 9960.04 1218.01 "3" "39"
-5137071.73507708 -6258732.17624929 90.59 0 "W" 179.67 "R1" "N0" "Strip: 4" 3 "3" "4" -64.9 0 4212.01 "3" "40"
-5137071.66710057 -6258723.71189084 86.18 50.6 "W" 178.57 "R1" "N2" "Strip: 5" 3 "3" "5" -14.3 2560.36 204.49 "3" "41"
-5137080.06257653 -6258715.17847577 101.49 39 "W" 180 "R1" "N1" "Strip: 6" 3 "3" "6" -25.9 1521 670.81 "3" "42"
-5137079.99459522 -6258706.7141292 93.5 124.6 "W" 178.74 "R2" "N5" "Strip: 7" 3 "3" "7" 59.7 15525.16 3564.09 "96" "43"
-5137079.92661193 -6258698.24978755 91.44 75.4 "W" 175.39 "R2" "N3" "Strip: 8" 3 "3" "8" 10.5 5685.16 110.25 "96" "44"
-5137088.3220783 -6258689.71639622 95.46 99.8 "W" 169.4 "R2" "N4" "Strip: 9" 3 "3" "9" 34.9 9960.04 1218.01 "96" "45"
-5137088.2540902 -6258681.25206644 90.5 0 "W" 161.67 "R2" "N0" "Strip: 10" 3 "3" "10" -64.9 0 4212.01 "96" "46"
-5137088.18610012 -6258672.78774158 93.55 50.6 "W" 148.11 "R2" "N2" "Strip: 11" 3 "3" "11" -14.3 2560.36 204.49 "96" "47"
-5137088.11707591 -6258664.32300463 93.41 39 "W" 136.52 "R2" "N1" "Strip: 12" 3 "3" "12" -25.9 1521 670.81 "96" "48"
-5137096.51356202 -6258655.790061 99.35 124.6 "W" 159.03 "R3" "N5" "Strip: 13" 3 "3" "13" 59.7 15525.16 3564.09 "189" "49"
